Date,Open,High,Low,Close,Adj Close,Volume
2023-08-01,1.820000,2.080000,1.730000,2.030000,2.030000,50755100
2023-08-02,1.750000,1.870000,1.680000,1.790000,1.790000,39992700
2023-08-03,1.760000,1.780000,1.680000,1.680000,1.680000,19715300
2023-08-04,1.670000,1.770000,1.640000,1.660000,1.660000,34052900
2023-08-07,1.710000,1.750000,1.640000,1.740000,1.740000,30195600
2023-08-08,1.700000,1.750000,1.670000,1.710000,1.710000,20832800
2023-08-09,1.700000,1.780000,1.680000,1.740000,1.740000,17619100
2023-08-10,1.750000,2.020000,1.750000,1.890000,1.890000,47410600
2023-08-11,1.880000,1.910000,1.820000,1.860000,1.860000,16540600
2023-08-14,1.840000,1.860000,1.770000,1.810000,1.810000,17572900
2023-08-15,1.780000,1.800000,1.690000,1.690000,1.690000,20121300
2023-08-16,1.700000,1.770000,1.690000,1.720000,1.720000,14832000
2023-08-17,1.740000,1.770000,1.700000,1.720000,1.720000,14312100
2023-08-18,1.690000,1.750000,1.690000,1.700000,1.700000,11541300
2023-08-21,1.710000,1.720000,1.620000,1.630000,1.630000,18437500
2023-08-22,1.640000,1.650000,1.490000,1.510000,1.510000,21589300
2023-08-23,1.520000,1.550000,1.400000,1.520000,1.520000,42139500
2023-08-24,1.530000,1.550000,1.480000,1.500000,1.500000,10736000
2023-08-25,1.500000,1.580000,1.500000,1.550000,1.550000,14908300
2023-08-28,1.580000,1.630000,1.560000,1.600000,1.600000,10103100
2023-08-29,1.590000,1.650000,1.560000,1.570000,1.570000,9432200
2023-08-30,1.570000,1.580000,1.490000,1.550000,1.550000,12302300
2023-08-31,1.560000,1.630000,1.540000,1.590000,1.590000,10862900
2023-09-01,1.600000,1.640000,1.560000,1.580000,1.580000,7234300
2023-09-05,1.570000,1.570000,1.450000,1.500000,1.500000,19221000
2023-09-06,1.480000,1.530000,1.470000,1.480000,1.480000,11609100
2023-09-07,1.460000,1.480000,1.420000,1.420000,1.420000,15857100
2023-09-08,1.410000,1.450000,1.350000,1.420000,1.420000,12770300
2023-09-11,1.430000,1.460000,1.360000,1.370000,1.370000,14476100
2023-09-12,1.370000,1.450000,1.350000,1.420000,1.420000,8673200
2023-09-13,1.410000,1.440000,1.360000,1.400000,1.400000,10880900
2023-09-14,1.410000,1.510000,1.390000,1.450000,1.450000,13899800
2023-09-15,1.450000,1.590000,1.440000,1.540000,1.540000,49888000
2023-09-18,1.540000,1.580000,1.500000,1.520000,1.520000,11718900
2023-09-19,1.510000,1.650000,1.510000,1.630000,1.630000,21771700
2023-09-20,1.620000,1.670000,1.610000,1.630000,1.630000,11834600
2023-09-21,1.580000,1.600000,1.530000,1.540000,1.540000,12030600
2023-09-22,1.510000,1.580000,1.500000,1.510000,1.510000,11028000
2023-09-25,1.460000,1.480000,1.390000,1.390000,1.390000,14496500
2023-09-26,1.380000,1.400000,1.300000,1.300000,1.300000,14132300
2023-09-27,1.320000,1.430000,1.310000,1.390000,1.390000,24063600
2023-09-28,1.390000,1.430000,1.350000,1.430000,1.430000,13138700
2023-09-29,1.430000,1.490000,1.420000,1.420000,1.420000,12839100
2023-10-02,1.400000,1.450000,1.360000,1.390000,1.390000,12641600
2023-10-03,1.380000,1.400000,1.290000,1.310000,1.310000,17922500
2023-10-04,1.310000,1.340000,1.290000,1.340000,1.340000,11389600
2023-10-05,1.290000,1.360000,1.290000,1.350000,1.350000,7432900
2023-10-06,1.320000,1.340000,1.290000,1.290000,1.290000,12354100
2023-10-09,1.290000,1.320000,1.270000,1.310000,1.310000,5508800
2023-10-10,1.330000,1.410000,1.320000,1.390000,1.390000,14758700
2023-10-11,1.390000,1.430000,1.320000,1.330000,1.330000,7297500
2023-10-12,1.320000,1.330000,1.280000,1.320000,1.320000,7586100
2023-10-13,1.320000,1.350000,1.300000,1.320000,1.320000,5806800
2023-10-16,1.310000,1.360000,1.300000,1.350000,1.350000,6019300
2023-10-17,1.340000,1.430000,1.330000,1.420000,1.420000,11765600
2023-10-18,1.400000,1.430000,1.360000,1.390000,1.390000,7053600
2023-10-19,1.390000,1.440000,1.370000,1.390000,1.390000,10100000
2023-10-20,1.380000,1.430000,1.360000,1.390000,1.390000,9401300
